Sno,Customer_number,Insurance,balance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn,,,,,
30,1031,no,839,no,yes,unknown,225,1,3,0,pending,no,369,,,,,
31,1032,no,378,yes,no,unknown,230,1,3,0,pending,no,451,,,,,
32,1033,no,39,yes,yes,unknown,208,1,3,0,pending,no,294,,,,,
33,1034,no,0,yes,no,unknown,226,1,3,0,pending,no,156,,,,,
34,1035,no,10635,yes,no,unknown,336,1,1,0,pending,no,122,,,,,
35,1036,no,63,yes,no,unknown,242,1,1,0,pending,no,387,,,,,
36,1037,no,7,yes,no,unknown,365,1,1,0,pending,no,362,,,,,
37,1038,no,3,no,no,unknown,1666,1,1,0,pending,no,223,,,,,
38,1039,no,506,yes,no,unknown,577,1,1,0,pending,no,460,,,,,
39,1040,no,0,yes,no,unknown,137,1,1,0,,no,219,,,,,
40,1041,no,2586,yes,no,unknown,160,1,1,0,pending,no,283,,,,,
41,1042,no,,yes,no,unknown,180,2,1,0,pending,no,381,,,,,
42,1043,no,104,yes,no,unknown,22,1,1,0,pending,no,-119,,,,,
43,1044,no,529,yes,no,unknown,1492,1,1,0,pending,no,353,,,,,
44,1045,no,96,yes,no,unknown,616,1,1,0,pending,no,365,,,,,
45,1046,no,171,yes,no,unknown,242,1,1,0,pending,no,105,,,,,
46,1047,no,364,yes,no,unknown,355,1,1,0,pending,no,350,,,,,
47,1048,no,0,yes,no,unknown,225,2,1,0,pending,no,474,,,,,
48,1049,no,0,no,no,unknown,160,1,1,0,pending,no,146,,,,,
49,1050,no,0,yes,no,unknown,363,1,1,0,pending,no,366,,,,,
50,1051,no,1291,yes,no,unknown,266,1,1,0,pending,no,391,,,,,
51,1052,no,244,yes,no,unknown,253,1,1,0,pending,no,458,,,,,
52,1053,no,0,yes,no,unknown,179,1,1,0,pending,no,392,,,,,
53,1054,no,76,yes,no,unknown,787,1,1,0,pending,no,362,,,,,
54,1055,no,103,yes,yes,unknown,,1,1,0,pending,no,446,,,,,
55,1056,no,243,no,yes,unknown,174,1,1,0,pending,no,409,,,,,
56,1057,no,424,yes,no,unknown,104,1,1,0,pending,no,275,,,,,
57,1058,no,306,yes,no,unknown,13,1,1,0,pending,no,343,,,,,
58,1059,no,24,yes,no,unknown,185,1,1,0,pending,no,140,,,,,
59,1060,no,179,yes,no,unknown,1778,1,1,0,pending,no,226,,,,,
60,1061,no,0,yes,no,unknown,138,1,1,0,pending,no,346,,,,,
61,1062,no,989,yes,no,unknown,812,1,1,0,pending,no,165,,,,,
62,1063,no,249,yes,no,unknown,164,1,1,0,pending,no,479,,,,,
63,1064,no,790,yes,no,unknown,391,1,1,0,pending,no,257,,,,,
64,1065,no,154,yes,no,unknown,357,1,1,0,unknown,no,276,,,,,
65,1066,no,6530,yes,no,unknown,91,1,1,0,unknown,no,489,,,,,
66,1067,no,100,no,no,unknown,528,1,1,0,unknown,no,101,,,,,
67,1068,no,59,yes,no,unknown,273,1,1,0,unknown,no,196,,,,,
68,1069,no,1205,yes,no,unknown,158,2,1,0,unknown,no,418,,,,,
69,1070,no,12223,yes,yes,unknown,177,1,-2,0,,no,481,,,,,
70,1071,no,5935,yes,yes,unknown,258,1,1,0,unknown,no,168,,,,,
71,1072,no,25,yes,yes,unknown,172,1,1,0,unknown,no,370,,,,,
72,1073,no,282,yes,yes,unknown,154,1,1,0,unknown,no,431,,,,,
73,1074,no,23,yes,no,unknown,291,1,1,0,unknown,no,174,,,,,
74,1075,no,1937,yes,no,unknown,181,1,1,0,unknown,no,473,,,,,
75,1076,no,384,yes,no,unknown,176,1,1,0,unknown,no,324,,,,,
76,1077,no,582,no,yes,unknown,211,1,1,0,unknown,no,393,,,,,
77,1078,no,91,no,no,unknown,349,1,1,0,unknown,no,239,,,,,
78,1079,no,0,yes,yes,unknown,272,1,1,0,unknown,no,126,,,,,
79,1080,yes,1,yes,no,unknown,208,1,1,0,unknown,no,150,,,,,
80,1081,no,206,yes,no,unknown,193,1,1,0,unknown,no,255,,,,,
81,1082,no,164,no,no,unknown,212,1,1,0,unknown,no,175,,,,,
82,1083,no,690,yes,no,unknown,20,1,1,0,unknown,no,316,,,,,
83,1084,no,2343,yes,no,unknown,1042,1,1,0,unknown,yes,141,,,,,
84,1085,no,137,yes,yes,unknown,246,1,1,0,unknown,no,176,,,,,
85,1086,no,173,yes,no,unknown,529,2,1,0,unknown,no,263,,,,,
86,1087,no,45,no,no,unknown,1467,1,1,0,unknown,yes,399,,,,,
87,1088,no,1270,yes,no,unknown,1389,1,1,0,unknown,yes,468,,,,,
88,1089,no,16,yes,yes,unknown,188,2,1,0,unknown,no,340,,,,,
89,1090,no,486,yes,no,unknown,180,2,1,0,unknown,no,466,,,,,
90,1091,no,50,no,no,unknown,48,1,1,0,unknown,no,258,,,,,
91,1092,no,152,yes,yes,unknown,213,2,1,0,unknown,no,434,,,,,
92,1093,no,290,yes,no,unknown,583,1,1,0,unknown,no,356,,,,,
93,1094,no,54,yes,no,unknown,221,1,1,0,unknown,no,391,,,,,
94,1095,no,37,no,no,?,173,1,1,0,unknown,no,180,,,,,
95,1096,no,101,yes,yes,?,426,1,1,0,unknown,no,146,,,,,
96,1097,no,383,no,no,?,287,1,1,0,unknown,no,444,,,,,
97,1098,no,81,yes,no,?,101,1,1,0,unknown,no,129,,,,,
98,1099,no,0,yes,no,?,203,1,1,0,unknown,no,111,,,,,
99,1100,no,229,yes,no,?,197,1,1,0,unknown,no,341,,,,,
100,1101,no,674,yes,no,?,257,1,1,0,unknown,no,271,,,,,
101,1102,no,90,no,no,?,124,1,1,0,unknown,no,270,,,,,
102,1103,no,128,yes,no,?,229,1,1,0,unknown,no,195,,,,,
103,1104,no,179,yes,no,?,55,3,1,0,unknown,no,492,,,,,
104,1105,no,0,yes,no,?,400,1,1,0,unknown,no,388,,,,,
105,1106,no,54,yes,no,?,197,1,1,0,unknown,no,419,,,,,
106,1107,no,151,yes,no,?,190,1,1,0,unknown,no,248,,,,,
107,1108,no,61,no,yes,unknown,21,1,1,0,unknown,no,335,,,,,
108,1109,no,30,yes,no,unknown,514,1,1,0,unknown,no,481,,,,,
109,1110,no,523,yes,no,unknown,849,2,1,0,unknown,no,359,,,,,
110,1111,no,31,yes,no,unknown,194,1,1,0,unknown,no,202,,,,,
111,1112,no,79,no,no,unknown,144,1,1,0,unknown,no,199,,,,,
112,1113,no,34,yes,yes,unknown,212,2,1,0,,no,309,,,,,
113,1114,no,448,yes,no,unknown,286,1,1,0,unknown,no,331,,,,,
114,1115,no,81,yes,no,unknown,107,1,1,0,unknown,no,160,,,,,
115,1116,no,144,yes,no,unknown,247,2,1,0,unknown,no,468,,,,,
116,1117,no,351,yes,no,unknown,518,1,1,0,unknown,no,116,,,,,
117,1118,no,67,yes,no,unknown,364,1,1,0,unknown,no,290,,,,,
118,1119,no,262,no,no,unknown,178,1,1,0,unknown,no,158,,,,,
119,1120,no,0,no,no,unknown,98,1,1,0,,no,446,,,,,
120,1121,no,56,yes,no,unknown,439,1,1,0,unknown,no,211,,,,,
121,1122,no,26,yes,no,unknown,79,1,1,0,unknown,no,297,,,,,
122,1123,no,3,yes,no,unknown,,3,1,0,unknown,no,144,,,,,
123,1124,no,,yes,yes,unknown,127,2,1,0,unknown,no,264,,,,,
124,1125,no,7,no,yes,unknown,175,1,1,0,unknown,no,175,,,,,
125,1126,no,105,yes,no,unknown,262,2,1,0,unknown,no,238,,,,,
126,1127,no,818,yes,yes,unknown,61,1,1,0,,no,301,,,,,
127,1128,no,16,yes,yes,unknown,78,1,1,0,unknown,no,254,,,,,
128,1129,no,0,yes,no,unknown,143,1,1,0,unknown,no,265,,,,,
129,1130,no,2476,yes,no,unknown,579,1,1,0,unknown,yes,241,,,,,
130,1131,no,1185,no,no,unknown,677,1,1,0,unknown,no,165,,,,,
131,1132,no,217,yes,no,unknown,345,1,1,0,unknown,no,315,,,,,
132,1133,no,1685,yes,no,unknown,185,1,1,0,unknown,no,429,,,,,
133,1134,no,802,yes,yes,unknown,100,2,1,0,unknown,no,413,,,,,
134,1135,no,0,yes,no,unknown,125,2,1,0,unknown,no,425,,,,,
135,1136,no,94,yes,no,unknown,193,1,1,0,unknown,no,452,,,,,
136,1137,no,0,yes,no,unknown,136,1,1,0,unknown,no,299,,,,,
137,1138,no,0,no,no,unknown,73,1,1,0,unknown,no,347,,,,,
138,1139,no,517,yes,no,unknown,528,1,1,0,unknown,no,194,,,,,
139,1140,no,265,yes,no,unknown,541,1,1,0,unknown,no,295,,,,,
140,1141,no,947,yes,no,unknown,163,1,1,0,unknown,no,192,,,,,
141,1142,no,3,yes,no,unknown,301,1,1,0,unknown,no,472,,,,,
142,1143,no,42,no,no,unknown,46,1,1,0,unknown,no,329,,,,,
143,1144,no,37,yes,no,unknown,204,1,1,0,unknown,no,-113,,,,,
144,1145,no,57,yes,no,unknown,98,1,1,0,unknown,no,268,,,,,
145,1146,no,22,yes,no,unknown,71,1,1,0,unknown,no,153,,,,,
146,1147,no,8,yes,no,unknown,157,2,1,0,unknown,no,128,,,,,
147,1148,no,293,yes,no,unknown,243,1,1,0,unknown,no,295,,,,,
148,1149,no,3,yes,no,unknown,186,2,1,0,????,no,436,,,,,
149,1150,no,348,yes,no,unknown,579,2,1,0,unknown,no,176,,,,,
150,1151,no,19,yes,no,unknown,163,2,1,0,unknown,no,319,,,,,
151,1152,no,0,yes,no,unknown,610,2,1,0,unknown,no,144,,,,,
152,1153,no,4,yes,no,unknown,2033,1,1,0,unknown,no,226,,,,,
153,1154,no,18,yes,no,unknown,85,1,1,0,unknown,no,310,,,,,
154,1155,no,139,no,no,unknown,,2,1,0,unknown,no,495,,,,,
155,1156,no,0,yes,no,unknown,114,2,1,0,unknown,no,392,,,,,
156,1157,no,1883,yes,no,unknown,57,1,1,0,unknown,no,281,,,,,
157,1158,no,216,yes,no,unknown,238,1,1,0,unknown,no,143,,,,,
158,1159,no,782,yes,no,unknown,93,3,1,0,unknown,no,-176,,,,,
159,1160,no,904,yes,no,unknown,128,2,1,0,unknown,no,416,,,,,
160,1161,no,1705,yes,no,unknown,107,1,-2,0,unknown,no,460,,,,,
161,1162,no,47,yes,no,unknown,181,1,1,0,unknown,no,108,,,,,
162,1163,no,176,yes,no,unknown,303,2,1,0,unknown,no,442,,,,,
163,1164,no,1225,yes,no,unknown,558,5,1,0,unknown,no,186,,,,,
164,1165,no,86,yes,no,unknown,270,1,1,0,unknown,no,258,,,,,
165,1166,no,82,yes,no,unknown,228,1,1,0,unknown,no,266,,,,,
166,1167,no,271,yes,no,unknown,99,1,1,0,unknown,no,485,,,,,
167,1168,no,1378,yes,no,unknown,240,1,1,0,unknown,no,395,,,,,
168,1169,no,184,no,no,unknown,673,2,1,0,unknown,yes,356,,,,,
169,1170,no,0,no,no,unknown,233,3,1,0,unknown,no,156,,,,,
170,1171,no,0,yes,no,unknown,1056,1,1,0,unknown,no,387,,,,,
171,1172,no,1357,yes,yes,unknown,250,1,1,0,unknown,no,494,,,,,
172,1173,no,19,yes,no,unknown,252,1,1,0,unknown,no,146,,,,,
173,1174,no,434,no,no,unknown,138,1,1,0,unknown,no,217,,,,,
174,1175,no,92,yes,no,unknown,130,1,1,0,unknown,no,271,,,,,
175,1176,no,1151,yes,no,unknown,412,1,1,0,unknown,no,370,,,,,
176,1177,no,,yes,no,unknown,179,2,1,0,unknown,no,334,,,,,
177,1178,no,51,yes,no,unknown,19,2,1,0,unknown,no,219,,,,,
178,1179,no,214,yes,no,unknown,458,2,1,0,unknown,no,379,,,,,
179,1180,no,1161,yes,no,unknown,717,1,1,0,unknown,no,-171,,,,,
180,1181,no,37,yes,no,unknown,313,1,1,0,unknown,no,258,,,,,
181,1182,no,787,yes,no,unknown,683,2,1,0,?,no,116,,,,,
182,1183,no,59,yes,no,unknown,1077,1,1,0,unknown,no,236,,,,,
183,1184,no,253,yes,no,unknown,416,1,1,0,unknown,no,343,,,,,
184,1185,no,211,yes,no,unknown,146,2,1,0,unknown,no,482,,,,,
185,1186,no,235,yes,no,unknown,167,1,1,0,unknown,no,358,,,,,
186,1187,no,4384,yes,no,unknown,315,1,1,0,unknown,no,326,,,,,
187,1188,no,4080,no,no,unknown,140,1,1,0,unknown,no,128,,,,,
188,1189,no,53,yes,yes,unknown,346,1,1,0,unknown,no,495,,,,,
189,1190,no,0,yes,no,unknown,562,1,1,0,unknown,no,118,,,,,
190,1191,no,2127,yes,no,unknown,172,1,1,0,unknown,no,397,,,,,
191,1192,no,377,yes,no,unknown,217,1,1,0,?,no,175,,,,,
192,1193,no,73,yes,no,unknown,,2,1,0,unknown,no,422,,,,,
193,1194,no,445,yes,no,unknown,67,1,1,0,unknown,no,184,,,,,
194,1195,no,243,yes,no,unknown,291,1,1,0,unknown,no,249,,,,,
195,1196,no,307,yes,no,unknown,309,2,1,0,unknown,no,307,,,,,
196,1197,no,155,yes,no,unknown,248,1,1,0,unknown,no,239,,,,,
197,1198,no,173,no,yes,unknown,98,1,1,0,unknown,no,408,,,,,
198,1199,no,400,yes,no,unknown,256,1,1,0,unknown,no,458,,,,,
199,1200,no,1428,yes,no,?,82,2,1,0,unknown,no,192,,,,,
200,1201,no,219,yes,no,?,577,1,1,0,unknown,no,253,,,,,
201,1202,no,7,yes,no,unknown,286,1,1,0,unknown,no,303,,,,,
202,1203,no,575,yes,no,unknown,477,1,1,0,unknown,no,259,,,,,
203,1204,no,298,yes,no,unknown,611,2,1,0,unknown,no,184,,,,,
204,1205,no,0,yes,no,unknown,471,1,1,0,unknown,no,367,,,,,
205,1206,no,5699,yes,no,unknown,381,2,1,0,?,no,173,,,,,
206,1207,no,176,yes,yes,unknown,42,1,1,0,?,no,490,,,,,
207,1208,no,517,yes,no,unknown,251,1,1,0,unknown,no,272,,,,,
208,1209,no,257,yes,no,unknown,408,1,1,0,unknown,no,261,,,,,
209,1210,no,56,yes,no,unknown,215,1,1,0,unknown,no,230,,,,,
210,1211,no,390,yes,no,unknown,287,1,1,0,unknown,no,159,,,,,
211,1212,no,330,yes,no,?,216,2,1,0,unknown,no,367,,,,,
212,1213,no,195,no,no,unknown,366,2,1,0,unknown,no,410,,,,,
213,1214,no,301,yes,no,unknown,210,1,1,0,unknown,no,115,,,,,
214,1215,no,41,yes,no,unknown,288,1,1,0,unknown,no,206,,,,,
215,1216,no,483,yes,no,unknown,168,1,1,0,unknown,no,375,,,,,
216,1217,no,28,no,no,unknown,338,2,1,0,unknown,no,125,,,,,
217,1218,no,13,no,no,,410,3,1,0,unknown,no,397,,,,,
218,1219,no,965,no,no,unknown,177,1,1,0,unknown,no,338,,,,,
219,1220,no,378,yes,yes,unknown,127,2,1,0,unknown,no,231,,,,,
220,1221,no,219,yes,no,unknown,357,1,1,0,unknown,no,423,,,,,
221,1222,no,324,yes,no,unknown,175,1,1,0,unknown,no,448,,,,,
222,1223,no,69,yes,no,unknown,300,1,1,0,unknown,no,251,,,,,
223,1224,no,0,no,yes,unknown,136,1,1,0,unknown,no,303,,,,,
224,1225,no,205,yes,no,unknown,1419,1,1,0,unknown,no,468,,,,,
225,1226,no,278,yes,no,unknown,125,2,1,0,unknown,no,163,,,,,
226,1227,no,1065,yes,no,unknown,213,3,1,0,unknown,no,121,,,,,
227,1228,no,34,yes,no,unknown,27,1,1,0,unknown,no,287,,,,,
228,1229,no,1033,no,no,unknown,238,2,1,0,unknown,no,111,,,,,
229,1230,no,1467,yes,no,unknown,124,1,1,0,unknown,no,329,,,,,
230,1231,no,12,yes,no,unknown,18,1,1,0,unknown,no,123,,,,,
231,1232,no,388,yes,no,unknown,730,2,1,0,unknown,no,272,,,,,
232,1233,no,294,yes,no,unknown,746,2,1,0,unknown,no,384,,,,,
233,1234,no,1827,no,no,unknown,121,1,1,0,unknown,no,101,,,,,
234,1235,no,627,yes,no,unknown,247,1,1,0,unknown,no,317,,,,,
235,1236,no,25,yes,no,unknown,40,1,1,0,unknown,no,310,,,,,
236,1237,no,315,yes,no,unknown,181,2,1,0,unknown,no,263,,,,,
237,1238,no,0,yes,no,unknown,79,1,1,0,unknown,no,383,,,,,
238,1239,no,66,yes,no,unknown,206,1,1,0,unknown,no,361,,,,,
239,1240,no,9,yes,yes,unknown,389,1,1,0,unknown,no,404,,,,,
240,1241,no,349,yes,yes,unknown,127,1,1,0,unknown,no,493,,,,,
241,1242,no,100,yes,no,unknown,702,1,1,0,unknown,no,382,,,,,
242,1243,no,0,no,no,unknown,151,1,1,0,unknown,no,354,,,,,
243,1244,no,434,yes,no,unknown,,1,1,0,unknown,no,439,,,,,
244,1245,no,3237,yes,no,unknown,232,3,1,0,unknown,no,402,,,,,
245,1246,no,275,no,no,unknown,408,2,1,0,unknown,no,470,,,,,
246,1247,no,0,yes,no,unknown,179,2,1,0,unknown,no,386,,,,,
247,1248,no,207,yes,no,unknown,39,1,1,0,unknown,no,291,,,,,
248,1249,no,483,yes,no,unknown,282,1,1,0,unknown,no,481,,,,,
249,1250,no,2248,yes,no,unknown,714,2,1,0,unknown,no,408,,,,,
250,1251,no,428,yes,no,unknown,50,1,1,0,unknown,no,170,,,,,
251,1252,no,0,yes,yes,unknown,181,1,1,0,unknown,no,208,,,,,
252,1253,no,0,yes,no,unknown,142,1,1,0,unknown,no,202,,,,,
253,1254,no,140,yes,no,unknown,227,1,1,0,unknown,no,152,,,,,
254,1255,no,297,yes,no,unknown,119,1,-2,0,unknown,no,476,,,,,
255,1256,no,279,yes,no,unknown,361,1,1,0,unknown,no,171,,,,,
256,1257,no,901,yes,no,unknown,73,3,1,0,unknown,no,205,,,,,
257,1258,no,2573,yes,no,unknown,67,2,1,0,unknown,no,488,,,,,
258,1259,no,143,yes,yes,unknown,350,1,1,0,unknown,no,104,,,,,
259,1260,no,475,yes,no,unknown,332,2,1,0,unknown,no,309,,,,,
260,1261,no,70,yes,no,unknown,611,2,1,0,unknown,no,358,,,,,
261,1262,no,318,yes,no,unknown,113,2,1,0,unknown,no,229,,,,,
262,1263,no,275,yes,no,unknown,,1,1,0,unknown,no,436,,,,,
263,1264,no,742,yes,no,unknown,58,3,1,0,unknown,no,293,,,,,
264,1265,no,236,yes,no,unknown,151,1,1,0,unknown,no,464,,,,,
265,1266,no,25,yes,no,unknown,89,2,1,0,unknown,no,151,,,,,
266,1267,no,600,yes,no,unknown,152,1,1,0,unknown,no,372,,,,,
267,1268,no,349,yes,no,unknown,611,2,1,0,unknown,no,222,,,,,
268,1269,no,183,yes,yes,unknown,110,2,1,0,unknown,no,128,,,,,
269,1270,no,0,yes,no,?,463,1,1,0,unknown,no,324,,,,,
270,1271,no,0,yes,yes,unknown,562,2,1,0,unknown,yes,154,,,,,
271,1272,no,0,yes,no,unknown,962,1,1,0,unknown,no,153,,,,,
272,1273,no,1078,yes,no,unknown,10,4,1,0,unknown,no,158,,,,,
273,1274,no,155,no,no,unknown,118,3,1,0,unknown,no,468,,,,,
274,1275,no,190,yes,no,unknown,92,2,1,0,unknown,no,279,,,,,
275,1276,no,319,yes,no,unknown,143,3,1,0,unknown,no,232,,,,,
276,1277,no,185,yes,no,unknown,189,3,1,0,unknown,no,373,,,,,
277,1278,no,47,no,no,unknown,234,2,1,0,unknown,no,402,,,,,
278,1279,no,570,yes,no,unknown,75,2,1,0,unknown,no,215,,,,,
279,1280,no,19,no,no,unknown,189,2,1,0,unknown,no,131,,,,,
280,1281,no,61,yes,no,unknown,621,3,1,0,unknown,no,232,,,,,
281,1282,no,62,yes,yes,unknown,55,2,1,0,unknown,no,464,,,,,
282,1283,no,258,no,no,unknown,310,4,1,0,unknown,no,116,,,,,
283,1284,no,76,yes,no,unknown,156,2,1,0,unknown,no,263,,,,,
284,1285,no,0,yes,no,unknown,5,2,1,0,unknown,no,326,,,,,
285,1286,no,352,yes,no,unknown,225,2,1,0,unknown,no,497,,,,,
286,1287,no,368,yes,no,unknown,125,2,1,0,unknown,no,413,,,,,
287,1288,no,339,yes,no,unknown,2,3,1,0,unknown,no,231,,,,,
288,1289,no,1331,yes,no,unknown,286,2,1,0,unknown,no,143,,,,,
289,1290,no,672,yes,no,unknown,164,2,1,0,unknown,no,188,,,,,
290,1291,no,58,yes,no,unknown,98,2,1,0,unknown,no,148,,,,,
291,1292,no,447,yes,no,unknown,742,2,1,0,unknown,no,214,,,,,
292,1293,no,423,yes,no,unknown,226,3,1,0,unknown,no,425,,,,,
293,1294,no,0,no,no,unknown,,2,1,0,unknown,no,232,,,,,
294,1295,no,19,yes,no,unknown,362,4,1,0,unknown,no,388,,,,,
295,1296,no,13,yes,no,unknown,357,2,1,0,unknown,no,175,,,,,
296,1297,no,3,yes,no,unknown,200,2,1,0,unknown,no,147,,,,,
297,1298,no,82,yes,no,unknown,204,2,1,0,unknown,no,234,,,,,
298,1299,no,28,yes,no,unknown,126,3,1,0,unknown,no,450,,,,,
299,1300,no,792,yes,no,unknown,65,2,1,0,unknown,no,180,,,,,
300,1301,no,408,yes,no,unknown,107,2,1,0,unknown,no,268,,,,,
301,1302,no,531,yes,no,unknown,267,2,1,0,unknown,no,357,,,,,
302,1303,no,211,yes,no,unknown,248,2,1,0,unknown,no,374,,,,,
303,1304,no,62,yes,no,unknown,215,2,1,0,unknown,no,342,,,,,
304,1305,no,257,yes,no,unknown,209,2,1,0,unknown,no,206,,,,,
305,1306,no,1234,yes,no,unknown,205,2,1,0,unknown,no,168,,,,,
306,1307,no,313,yes,no,unknown,83,2,1,0,unknown,no,159,,,,,
307,1308,no,89,yes,no,unknown,106,3,1,0,unknown,no,488,,,,,
308,1309,no,129,yes,yes,,189,2,1,0,unknown,no,124,,,,,
309,1310,no,0,yes,no,unknown,,2,1,0,unknown,no,400,,,,,
310,1311,no,353,yes,no,unknown,106,2,1,0,unknown,no,309,,,,,
311,1312,no,851,yes,no,unknown,108,2,1,0,unknown,no,364,,,,,
312,1313,no,96,yes,yes,unknown,311,2,1,0,unknown,no,320,,,,,
313,1314,no,398,yes,yes,unknown,214,2,1,0,unknown,no,292,,,,,
314,1315,no,193,no,no,unknown,132,2,1,0,unknown,no,291,,,,,
315,1316,no,358,yes,no,unknown,358,2,1,0,unknown,no,172,,,,,
316,1317,no,539,yes,yes,unknown,453,2,1,0,unknown,no,444,,,,,
317,1318,no,0,yes,no,unknown,364,2,1,0,unknown,no,349,,,,,
318,1319,no,0,no,no,unknown,136,2,1,0,unknown,no,313,,,,,
319,1320,no,490,yes,no,unknown,386,2,1,0,unknown,no,186,,,,,
320,1321,no,0,yes,no,unknown,173,2,1,0,unknown,no,116,,,,,
321,1322,no,403,yes,no,unknown,241,2,1,0,unknown,no,178,,,,,
322,1323,no,161,yes,no,unknown,224,3,1,0,unknown,no,419,,,,,
323,1324,no,2558,no,no,unknown,148,2,1,0,unknown,no,297,,,,,
324,1325,no,98,yes,no,unknown,196,2,1,0,unknown,no,267,,,,,
325,1326,no,115,no,no,unknown,111,4,1,0,unknown,no,433,,,,,
326,1327,no,436,yes,no,unknown,231,3,1,0,unknown,no,393,,,,,
327,1328,no,831,yes,no,unknown,316,3,1,0,unknown,no,417,,,,,
328,1329,no,206,yes,no,unknown,216,3,1,0,unknown,no,210,,,,,
329,1330,no,290,yes,no,unknown,240,2,1,0,unknown,no,282,,,,,
330,1331,no,1,no,no,unknown,669,3,1,0,unknown,no,345,,,,,
331,1332,no,57,yes,no,unknown,425,2,1,0,unknown,no,117,,,,,
332,1333,no,1000,yes,no,unknown,,2,1,0,unknown,no,278,,,,,
333,1334,no,1387,yes,no,unknown,174,5,1,0,unknown,no,298,,,,,
334,1335,no,24598,yes,no,unknown,313,3,1,0,unknown,no,218,,,,,
335,1336,no,30,yes,no,unknown,135,4,1,0,unknown,no,443,,,,,
336,1337,no,1022,yes,no,unknown,146,2,1,0,unknown,no,331,,,,,
337,1338,no,56,yes,yes,unknown,152,2,1,0,unknown,no,435,,,,,
338,1339,yes,2,no,no,unknown,402,3,1,0,unknown,no,386,,,,,
339,1340,no,121,yes,no,unknown,213,2,1,0,unknown,no,219,,,,,
340,1341,no,842,yes,no,unknown,144,3,1,0,unknown,no,215,,,,,
341,1342,no,693,yes,no,unknown,124,3,1,0,unknown,no,315,,,,,
342,1343,no,333,yes,no,unknown,183,2,1,0,unknown,no,117,,,,,
343,1344,no,1533,yes,no,unknown,325,2,1,0,unknown,no,380,,,,,
344,1345,no,46,yes,no,unknown,39,4,1,0,unknown,no,371,,,,,
345,1346,no,18,no,no,unknown,503,2,1,0,unknown,no,213,,,,,
346,1347,no,44,yes,no,unknown,95,4,1,0,unknown,no,429,,,,,
347,1348,no,100,yes,no,unknown,680,2,1,0,unknown,no,134,,,,,
348,1349,no,510,yes,no,unknown,421,4,1,0,unknown,no,321,,,,,
349,1350,no,685,yes,no,unknown,174,3,1,0,unknown,no,110,,,,,
350,1351,no,187,yes,no,unknown,113,2,1,0,unknown,no,173,,,,,
351,1352,no,66,yes,no,unknown,808,2,1,0,unknown,no,476,,,,,
352,1353,no,560,yes,no,unknown,198,3,1,0,unknown,no,481,,,,,
353,1354,no,0,yes,no,unknown,195,2,1,0,unknown,no,468,,,,,
354,1355,no,27,no,no,unknown,347,3,1,0,unknown,no,432,,,,,
355,1356,no,12,yes,no,unknown,208,2,-2,0,unknown,no,404,,,,,
356,1357,no,,yes,no,unknown,404,4,1,0,unknown,no,447,,,,,
