Customer_number,age,job,marital,education,Annual Income,Gender
1281,50,blue-collar,married,primary,722708,M
1282,41,admin.,married,secondary,5910016,F
1283,54,technician,married,tertiary,953292,F
1284,58,blue-collar,married,primary,4578565,M
1285,30,blue-collar,single,secondary,1558611,M
1286,33,admin.,single,secondary,4880103,F
1287,47,admin.,married,secondary,3524871,M
1288,50,technician,single,tertiary,3476804,F
1289,32,blue collar,married,secondary,3036938,M
1290,40,self-employed,married,secondary,2760816,M
1291,37,management,married,tertiary,2794132,M
1292,54,technician,single,unknown,2754979,M
1293,24,student,single,secondary,897631,F
1294,54,management,married,tertiary,4071937,M
1295,34,technician,married,secondary,913233,M
1296,56,technician,divorced,primary,2172991,M
1297,31,blue collar,single,secondary,1808604,F
1298,24,student,single,secondary,2178016,F
1299,42,blue-collar,divorced,primary,3180544,F
1300,57,technician,married,secondary,3354223,M
1301,42,blue-collar,married,unknown,2571347,M
1302,51,admin.,married,secondary,3756533,M
1303,57,retired,married,secondary,2793971,F
1304,36,services,single,secondary,3592154,M
1305,53,services,married,unknown,4749392,M
1306,50,technician,married,secondary,4433589,F
1307,54,management,married,tertiary,4253344,M
1308,55,blue-collar,married,secondary,4220030,F
1309,44,blue-collar,married,secondary,4737104,M
1310,43,management,married,unknown,2636558,M
1311,56,admin.,married,secondary,634159,M
1312,54,technician,married,unknown,4154754,F
1313,55,services,divorced,primary,1299218,F
1314,37,services,divorced,secondary,3355762,M
1315,33,admin.,single,tertiary,2665320,F
1316,46,admin.,married,secondary,5908232,F
1317,36,blue-collar,married,secondary,1462608,M
1318,51,technician,single,secondary,2557876,F
1319,40,retired,single,primary,3102258,M
1320,42,blue-collar,married,secondary,1877611,F
1321,51,blue-collar,married,secondary,2981596,M
1322,49,blue-collar,married,unknown,3307648,F
1323,48,management,married,secondary,4801127,M
1324,32,technician,divorced,tertiary,1423827,M
1325,31,admin.,single,secondary,1526643,M
1326,55,management,single,tertiary,874566,F
1327,40,blue-collar,single,secondary,2532135,F
1328,47,technician,married,tertiary,629625,M
1329,57,technician,married,unknown,277733,M
1330,41,blue-collar,married,secondary,3391095,M
1331,48,blue-collar,married,secondary,3099154,M
1332,42,blue-collar,married,unknown,1424018,M
1333,30,blue-collar,single,secondary,4999264,M
1334,58,management,single,tertiary,592334,M
1335,45,management,divorced,tertiary,3639475,M
1336,49,blue-collar,married,secondary,3039080,F
1337,42,admin.,single,secondary,3077854,F
1338,53,technician,married,secondary,4688681,M
1339,51,admin.,single,secondary,4999046,M
1340,32,services,single,secondary,2272337,M
1341,41,blue-collar,single,secondary,2298328,M
1342,43,management,divorced,secondary,3982792,F
1343,40,blue-collar,divorced,secondary,4998333,M
1344,50,blue-collar,married,primary,3700288,F
1345,34,management,married,tertiary,1031274,F
1346,53,services,married,unknown,3169273,M
1347,45,technician,married,secondary,575698,F
1348,39,blue collar,,primary,4996259,F
1349,44,services,married,tertiary,2878714,F
1350,55,management,married,tertiary,3590658,F
1351,46,management,single,tertiary,3315484,F
1352,45,blue-collar,married,secondary,3665634,M
1353,34,admin.,married,secondary,3849590,M
1354,36,blue-collar,married,secondary,4058441,F
1355,59,unknown,divorced,unknown,2762939,M
1356,31,admin.,single,secondary,4669289,M
1357,44,blue-collar,single,secondary,2416769,M
1358,33,entrepreneur,single,tertiary,2002245,F
1359,40,blue-collar,married,secondary,4577169,M
1360,46,admin.,single,tertiary,4920977,F
1361,48,management,married,tertiary,1802264,M
1362,42,services,married,secondary,868072,F
1363,27,services,married,secondary,3317078,F
1364,48,admin.,married,secondary,3856852,M
1365,59,admin.,married,secondary,827833,F
1366,46,technician,married,tertiary,433857,F
1367,38,admin.,divorced,secondary,1168057,M
1368,43,management,divorced,tertiary,3260375,M
1369,38,admin.,divorced,tertiary,4298039,M
1370,23,student,single,secondary,1507311,M
1371,34,services,married,secondary,3497934,M
1372,38,admin.,married,secondary,4279561,M
1373,37,blue-collar,married,secondary,480804,F
1374,25,admin.,single,secondary,1651280,M
1375,48,blue-collar,married,unknown,1230092,M
1376,49,blue-collar,single,secondary,731773,M
1377,38,admin.,single,secondary,1740369,M
1378,43,blue-collar,married,primary,2364282,M
1379,33,management,married,tertiary,822368,M
1380,55,blue-collar,married,secondary,3558811,F
1381,38,blue-collar,married,secondary,1744569,F
1382,49,services,married,secondary,3561641,F
1383,40,management,married,secondary,3322602,M
1384,43,admin.,married,unknown,2758550,M
1385,38,blue-collar,married,secondary,1816140,F
1386,58,services,married,secondary,1541206,M
1387,57,technician,married,unknown,4091638,M
1388,32,unemployed,married,secondary,3691778,F
1389,56,management,married,tertiary,1414323,M
1390,58,blue-collar,divorced,unknown,1687687,M
1391,60,retired,divorced,secondary,4065557,M
1392,37,technician,married,tertiary,1808424,F
1393,46,technician,divorced,tertiary,413432,F
1394,27,admin.,married,secondary,2450390,M
1395,43,blue-collar,married,secondary,2988925,M
1396,32,technician,single,secondary,598664,F
1397,40,admin.,single,secondary,589126,M
1398,38,admin.,married,secondary,824991,M
1399,34,blue-collar,married,secondary,3804923,F
1400,47,blue-collar,married,primary,1701747,M
1401,42,housemaid,married,primary,4707658,M
1402,48,technician,married,secondary,680882,M
1403,29,self-employed,single,tertiary,1829168,M
1404,50,services,married,secondary,4058819,M
1405,52,technician,married,unknown,4648486,M
1406,50,management,married,tertiary,1046667,M
1407,58,retired,married,tertiary,1745004,F
1408,46,blue-collar,divorced,primary,4586596,F
1409,38,technician,married,secondary,4446652,F
1410,46,blue collar,married,secondary,3401781,F
1411,32,services,single,secondary,3300222,F
1412,51,blue-collar,married,primary,2665166,M
1413,39,admin.,single,secondary,4995356,M
1414,48,admin.,married,secondary,425660,M
1415,36,entrepreneur,married,tertiary,3751965,M
1416,34,admin.,divorced,secondary,1849667,F
1417,40,technician,married,secondary,1366286,M
1418,43,unemployed,married,secondary,4010869,F
1419,52,blue-collar,divorced,primary,2953233,M
1420,33,technician,married,secondary,1594170,F
1421,49,management,single,tertiary,4886672,F
1422,32,management,single,tertiary,4705719,M
1423,39,admin.,single,secondary,2203621,F
1424,40,blue-collar,married,secondary,2290208,F
1425,38,technician,single,tertiary,218824,M
1426,43,management,married,secondary,329550,M
1427,39,services,married,secondary,1471922,F
1428,54,blue-collar,married,primary,2938291,M
1429,38,technician,single,tertiary,1710200,M
1430,40,blue-collar,married,secondary,3005845,M
1431,55,admin.,married,secondary,2273754,M
1432,42,management,married,tertiary,366229,M
1433,39,blue-collar,married,secondary,4569705,F
1434,40,blue-collar,married,primary,4656517,M
1435,32,blue-collar,married,secondary,3152465,F
1436,55,admin.,married,secondary,4094348,M
1437,45,blue-collar,married,secondary,4111462,M
1438,35,management,single,tertiary,4027817,F
1439,58,technician,divorced,secondary,1442744,M
1440,35,admin.,married,secondary,1301820,M
1441,49,services,married,primary,4545680,M
1442,34,technician,single,tertiary,1507477,F
1443,36,blue-collar,married,secondary,3776117,F
1444,24,self-employed,single,secondary,4844139,F
1445,34,technician,married,secondary,2521961,M
1446,51,admin.,divorced,secondary,2209810,F
1447,39,technician,single,unknown,2543746,M
1448,50,self-employed,married,unknown,4991672,M
1449,32,services,single,secondary,4870569,M
1450,42,blue-collar,married,unknown,2823834,M
1451,50,technician,married,secondary,4617538,M
1452,40,services,married,secondary,793042,M
1453,46,management,divorced,unknown,3261747,M
1454,37,management,married,tertiary,1943629,M
1455,34,blue-collar,married,secondary,3223372,F
1456,44,blue-collar,married,secondary,514467,M
1457,40,admin.,single,secondary,4990499,F
1458,37,technician,married,secondary,2138900,M
1459,33,blue-collar,single,secondary,4989079,F
1460,35,blue-collar,married,secondary,2769594,M
1461,58,blue-collar,divorced,secondary,4987575,M
1462,39,blue collar,married,primary,989322,F
1463,43,blue-collar,married,secondary,4985331,F
1464,39,unemployed,married,primary,4940992,F
1465,36,services,single,primary,3636336,F
1466,57,retired,single,secondary,2625839,F
1467,36,admin.,single,secondary,1239908,F
1468,50,blue-collar,married,primary,2701178,M
1469,55,blue-collar,married,secondary,1725638,M
1470,44,self-employed,married,tertiary,3285122,F
1471,44,services,divorced,secondary,1601395,F
1472,39,housemaid,single,primary,1638500,F
1473,46,blue-collar,married,unknown,3995928,M
1474,39,blue-collar,married,secondary,2518878,M
1475,34,admin.,married,secondary,2434023,M
1476,40,blue-collar,married,primary,1816545,M
1477,50,management,married,tertiary,1938106,F
1478,31,management,single,secondary,1960720,M
1479,37,admin.,single,secondary,1569768,F
1480,39,management,single,secondary,3130214,M
1481,51,blue-collar,married,primary,4627600,F
1482,41,technician,married,secondary,1566843,M
1483,41,technician,married,secondary,2632089,M
1484,43,blue-collar,married,secondary,258762,F
1485,30,services,single,secondary,2559652,F
1486,54,management,divorced,primary,2769779,M
1487,43,blue-collar,divorced,secondary,4390785,M
1488,59,management,divorced,tertiary,4984574,M
1489,47,technician,married,unknown,3954883,M
1490,40,blue-collar,married,primary,4984014,M
1491,32,technician,married,secondary,4713569,M
1492,29,blue-collar,married,secondary,3222833,M
1493,36,blue-collar,married,secondary,3729855,M
1494,55,unemployed,married,tertiary,851115,F
1495,30,blue-collar,divorced,secondary,4983732,M
1496,39,admin.,single,secondary,3433438,F
1497,39,blue-collar,divorced,secondary,4659056,F
1498,50,blue-collar,divorced,secondary,4092663,F
1499,44,blue-collar,married,secondary,4983630,F
1500,37,technician,single,secondary,3197689,M
1501,46,admin.,married,primary,2083929,F
1502,32,technician,single,unknown,4983598,F
1503,37,management,single,tertiary,3423508,M
1504,29,blue-collar,married,secondary,2012703,M
1505,41,blue-collar,married,secondary,915511,M
1506,45,blue-collar,married,primary,2373339,F
1507,57,retired,divorced,secondary,4982293,M
1508,48,blue-collar,single,secondary,2682773,M
1509,60,retired,married,secondary,2841312,M
1510,26,admin.,single,secondary,3637777,F
1511,58,retired,married,secondary,814468,M
1512,34,admin.,married,secondary,3818613,M
1513,55,unemployed,divorced,secondary,1803937,M
1514,41,blue-collar,married,primary,1410543,F
1515,50,management,divorced,secondary,4194997,F
1516,49,entrepreneur,married,secondary,4114507,M
1517,44,admin.,married,unknown,2531895,F
1518,44,blue-collar,married,primary,3672584,M
1519,31,technician,married,secondary,977033,F
1520,34,blue-collar,single,tertiary,302193,F
1521,46,management,single,unknown,3704264,F
1522,42,management,married,tertiary,3058296,M
1523,52,admin.,married,secondary,4766803,F
1524,29,management,single,tertiary,250929,F
1525,53,retired,married,primary,2565507,M
1526,43,blue-collar,married,secondary,4387912,F
1527,38,management,married,secondary,384301,F
1528,46,management,married,tertiary,3895546,M
1529,48,management,divorced,unknown,4615203,M
1530,30,admin.,divorced,secondary,1337879,M
1531,44,blue-collar,married,primary,1155318,F
1532,31,housemaid,married,primary,3562268,M
1533,42,services,single,secondary,394588,M
1534,40,management,single,tertiary,2683191,F
1535,52,admin.,married,secondary,2970840,F
1536,45,blue-collar,divorced,secondary,3647879,M
1537,48,blue-collar,married,secondary,4679890,M
1538,45,blue-collar,married,primary,4981783,F
1539,34,blue-collar,married,unknown,3600079,M
1540,34,blue-collar,married,primary,4978209,M
1541,46,blue-collar,married,secondary,4551011,F
1542,49,services,divorced,secondary,315426,M
1543,50,technician,married,primary,4132330,F
1544,34,admin.,single,secondary,3890196,M
1545,40,unemployed,single,secondary,3281368,M
1546,36,admin.,married,secondary,3498823,F
1547,59,blue-collar,divorced,unknown,3198082,M
1548,45,blue-collar,married,secondary,2592330,F
1549,36,self-employed,married,tertiary,2991640,M
1550,56,services,married,secondary,3221537,M
1551,42,services,divorced,secondary,3935935,M
1552,30,admin.,married,secondary,4315760,F
1553,30,student,single,tertiary,2342668,M
1554,47,self-employed,married,unknown,1133741,M
1555,33,blue-collar,married,secondary,4978175,M
1556,36,admin.,married,secondary,4977056,F
1557,39,services,divorced,primary,848472,M
1558,56,admin.,divorced,secondary,3340142,F
1559,39,blue-collar,divorced,unknown,1899712,F
1560,42,technician,married,secondary,3065663,F
1561,52,blue-collar,married,secondary,1110389,M
1562,36,admin.,divorced,secondary,4100212,M
1563,35,entrepreneur,married,secondary,2214528,M
1564,47,technician,married,secondary,1035666,M
1565,59,services,divorced,secondary,1438609,F
1566,57,blue-collar,married,primary,3593560,F
1567,38,management,married,unknown,1059358,M
1568,46,unemployed,married,secondary,4975214,M
1569,34,blue-collar,married,secondary,4019487,F
1570,28,services,single,secondary,221779,F
1571,38,technician,married,unknown,2749006,F
1572,56,blue-collar,married,secondary,249679,M
1573,41,blue-collar,single,primary,4973772,F
1574,52,technician,married,unknown,2038438,F
1575,54,services,married,secondary,3648852,M
1576,61,retired,married,secondary,898742,F
1577,53,entrepreneur,married,secondary,4650619,F
1578,47,technician,married,secondary,225360,M
1579,53,blue-collar,married,primary,597548,M
1580,46,services,married,secondary,408149,M
1581,39,blue-collar,divorced,primary,788513,F
1582,56,technician,divorced,secondary,3397607,M
1583,55,services,divorced,primary,3268514,M
1584,44,management,married,tertiary,232553,M
1585,37,technician,married,primary,1549107,F
1586,35,blue-collar,married,primary,1522143,M
1587,55,blue-collar,married,secondary,4690188,M
1588,37,services,married,secondary,3246643,F
1589,30,technician,single,secondary,808570,M
1590,37,blue-collar,married,primary,4972158,F
1591,36,technician,single,secondary,4970343,F
1592,38,technician,married,secondary,1975206,M
1593,41,admin.,divorced,primary,3115955,F
1594,48,retired,married,secondary,2122354,M
1595,55,services,divorced,secondary,1216354,F
1596,28,services,divorced,secondary,3197315,M
1597,54,services,married,secondary,2474086,F
1598,30,blue-collar,married,secondary,1414138,M
1599,48,technician,married,tertiary,2800957,M
1600,31,self-employed,married,secondary,3744681,F
1601,38,blue-collar,married,secondary,2349769,M
1602,37,blue collar,married,secondary,4133854,M
1603,37,services,single,unknown,4968760,M
1604,56,blue-collar,married,primary,1597305,F
1605,51,blue-collar,married,secondary,4039723,F
1606,39,blue-collar,married,secondary,4928298,F
1607,49,technician,married,unknown,1282987,F
1608,51,blue-collar,married,primary,4577536,F
1609,43,self-employed,married,secondary,2219979,M
1610,32,services,married,secondary,2085346,M
1611,29,technician,single,tertiary,2264624,M
1612,48,management,divorced,tertiary,4471617,F
1613,55,services,married,primary,2329362,F
1614,53,blue-collar,married,secondary,1860271,F
1615,47,technician,married,unknown,1094080,M
1616,39,management,married,tertiary,831869,M
1617,31,blue-collar,single,tertiary,2555217,F
1618,39,,married,primary,4873875,F
1619,40,blue-collar,married,primary,1956875,M
1620,40,technician,single,unknown,4968563,M
1621,48,technician,married,secondary,4138203,M
1622,33,technician,divorced,secondary,3241975,F
1623,40,technician,married,secondary,707559,M
1624,59,retired,married,primary,4968204,F
1625,30,technician,married,secondary,3844788,F
1626,31,management,single,tertiary,3343600,F
1627,35,unemployed,married,secondary,4014487,F
1628,54,technician,divorced,secondary,4722551,F
1629,34,admin.,single,unknown,280330,M
1630,32,technician,married,secondary,2970940,F
1631,56,admin.,divorced,unknown,2153443,F
1632,32,admin.,single,tertiary,515462,M
1633,42,blue-collar,married,primary,300138,M
1634,33,services,married,tertiary,3957314,F
1635,52,entrepreneur,married,tertiary,4967218,M
1636,52,services,married,secondary,2490343,M
1637,52,blue-collar,divorced,primary,4965889,M
1638,30,unemployed,divorced,secondary,4282517,M
1639,44,services,divorced,secondary,4057663,F
1640,35,admin.,married,secondary,2096149,F
1641,55,management,single,secondary,2819981,F
1642,33,blue-collar,married,primary,3367035,F
1643,37,blue-collar,single,secondary,3475624,F
1644,42,technician,single,secondary,729941,M
1645,43,unemployed,married,secondary,2897740,M
1646,38,entrepreneur,married,tertiary,1414317,F
1647,37,technician,married,secondary,4127073,M
1648,31,student,single,secondary,216625,M
1649,41,management,married,tertiary,4230223,M
1650,41,technician,married,secondary,4965438,M
1651,29,student,single,secondary,4891560,M
1652,38,admin.,single,secondary,4116834,M
1653,44,self-employed,divorced,tertiary,1986455,F
1654,39,admin.,married,secondary,3546629,F
1655,28,technician,single,secondary,3191076,F
1656,33,blue-collar,married,secondary,4962570,M
1657,41,services,married,unknown,2182410,F
1658,40,blue-collar,married,primary,4961111,M
1659,29,admin.,married,secondary,4960846,F
1660,38,management,married,unknown,4263186,M
1661,32,admin.,married,tertiary,3137342,M
